trial_type,trial_index,time_elapsed,internal_node_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,stimulus,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,phase,deviceInfo,itemID,stimulus_type,correct_ans,list,content,sound1,sound2
html-keyboard-response,66,157737,0.0-10.0-1.9,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>They watched the movie.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,67,159058,0.0-10.0-2.9,,,,,,null,null,stimuli/FAS_M1M-BKBR-00-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,68,159575,0.0-10.0-3.9,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>They watched the movie.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,69,161039,0.0-10.0-4.9,,,,,,null,null,stimuli/FAS_M6M-BKBR-00-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,70,164222,0.0-10.0-5.9,,,,,,3181,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>They watched the movie.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,7,MM,j,BKB,They watched the movie.,stimuli/FAS_M1M-BKBR-00-01.wav,stimuli/FAS_M6M-BKBR-00-01.wav
html-keyboard-response,71,165235,0.0-10.0-0.10,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,72,165737,0.0-10.0-1.10,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>hat</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,73,166319,0.0-10.0-2.10,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-06.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,74,166834,0.0-10.0-3.10,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>hat</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,75,167399,0.0-10.0-4.10,,,,,,null,null,stimuli/FAS_M6M-WIPI-01-06.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,76,168061,0.0-10.0-5.10,,,,,,660,f,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>hat</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,6,EM,f,WIPI,hat,stimuli/FAS_E1M-WIPI-01-06.wav,stimuli/FAS_M6M-WIPI-01-06.wav
html-keyboard-response,77,169063,0.0-10.0-0.11,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,78,169571,0.0-10.0-1.11,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>smoke</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,79,170378,0.0-10.0-2.11,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,80,170882,0.0-10.0-3.11,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>smoke</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,81,171479,0.0-10.0-4.11,,,,,,null,null,stimuli/FAS_E5M-WIPI-01-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,82,172558,0.0-10.0-5.11,,,,,,1078,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>smoke</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,3,EE,j,WIPI,smoke,stimuli/FAS_E1M-WIPI-01-03.wav,stimuli/FAS_E5M-WIPI-01-03.wav
html-button-response,83,184070,0.0-11.0,,,,,,11510,0,"
    <h1 style = ""width:100%"">
    The practice session is now over.
    </h1>
    <p>
    If you have any questions at this point, please do not close this webpage and contact the researcher.

    If you have no questions regarding the experiment procedure, click the button below to start the experiment.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,84,185075,0.0-12.0-0.0,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,85,185576,0.0-12.0-1.0,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>fair</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,86,186335,0.0-12.0-2.0,,,,,,null,null,stimuli/word/FAS_K7M-PBKW-02-37.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,87,186850,0.0-12.0-3.0,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>fair</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,88,187676,0.0-12.0-4.0,,,,,,null,null,stimuli/word/FAS_K9M-PBKW-02-37.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,89,188359,0.0-12.0-5.0,,,,,,681,f,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of audio is_<strong>fair</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,word,,87,KK,j,PBK,fair,stimuli/word/FAS_K7M-PBKW-02-37.wav,stimuli/word/FAS_K9M-PBKW-02-37.wav
html-keyboard-response,90,189365,0.0-12.0-0.1,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,91,189872,0.0-12.0-1.1,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>sit</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,92,190575,0.0-12.0-2.1,,,,,,null,null,stimuli/word/FAS_M1M-LNTW-02-16.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,93,191080,0.0-12.0-3.1,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>sit</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,94,191775,0.0-12.0-4.1,,,,,,null,null,stimuli/word/FAS_K9M-LNTW-02-16.wav,,,,,,,,,,,,,,,,,,,,
